"URL","Size","# of Outlinks","Content-Type"
"https://www.latimes.com/espanol/deportes/articulo/2024-02-17/barca-se-impone-al-celta-de-vigo-con-gol-de-ultimo-momento-de-lewandowski","230440 Byte","93","text/html"
"https://www.latimes.com/espanol/eeuu/articulo/2024-02-17/trump-evita-pena-de-muerte-empresaria-en-demanda-de-fraude-pero-sus-negocios-no-quedaran-impunes","245149 Byte","101","text/html"
"https://www.latimes.com/california/story/2024-01-10/column-who-is-to-blame-for-californias-budget-woes-try-mother-nature","336520 Byte","225","text/html"
"https://www.latimes.com/politics/story/2023-11-07/supreme-court-hears-major-test-of-2nd-amendment-gun-rights-in-a-case-of-domestic-violence","321220 Byte","206","text/html"
"https://www.latimes.com/california/story/2024-02-18/temecula-brothers-plead-guilty-united-states-postal-service-fraud-worth-2-3-million","316160 Byte","205","text/html"
"https://www.latimes.com/world-nation/story/2024-02-18/ukrainian-forces-dont-have-enough-artillery-to-battle-russia-a-key-withdrawal-shows-that","315627 Byte","202","text/html"
"https://www.latimes.com/entertainment-arts/music/story/2024-02-16/frankie-beverly-announces-retirement-farewell-tour-kia-forum","332799 Byte","212","text/html"
"https://www.latimes.com/travel/list/arts-district-downtown-los-angeles-guide-things-to-do","569927 Byte","286","text/html"
"https://www.latimes.com/opinion/story/2023-12-31/ai-books-writers-literature-robots-novels-lawsuits","343244 Byte","205","text/html"
"https://www.latimes.com/food/newsletter/2020-11-14/tasting-notes-anajak-thai-taco-tuesday-tasting-notes","310776 Byte","205","text/html"
"https://www.latimes.com/business/story/2024-01-02/ev-growth-slows-tesla-falls-behind-chinas-byd-in-quarterly-sales","318074 Byte","215","text/html"
"https://www.latimes.com/topic/election-2024","403567 Byte","218","text/html"
"https://www.latimes.com/world-nation/story/2024-02-16/israels-defense-chief-says-military-thoroughly-planning-offensive-in-crowded-gaza-border-town","324344 Byte","212","text/html"
"https://www.latimes.com/environment/story/2024-02-18/cost-of-owens-valley-storm-damage-continues-to-mount-for-los-angeles-department-of-water-and-power","385179 Byte","222","text/html"
"https://www.latimes.com/environment/story/2024-01-24/pasquale-romano-chargepoint-californias-public-charger-system","323017 Byte","213","text/html"
"https://www.latimes.com/food/newsletter/2022-07-23/anajak-restaurant-of-the-year-newsletter-tasting-notes","309956 Byte","206","text/html"
"https://www.latimes.com/world-nation/story/2024-02-16/donald-trump-fraud-verdict-364-million-penalty-in-new-york-civil-fraud-case","330018 Byte","211","text/html"
"https://www.latimes.com/topic/times-investigations","389981 Byte","212","text/html"
"https://www.latimes.com/entertainment-arts/story/2024-02-16/taylor-swift-gofundme-100k-kansas-city-chiefs-parade-shooting-mom-lisa-lopez-galvan","322762 Byte","211","text/html"
"https://www.latimes.com/bestcovery/?utm_campaign=bestcovery&utm_medium=homepagebarker&utm_source=on_site","92818 Byte","56","text/html"
"https://www.latimes.com/california/story/2024-02-07/if-we-must-rely-on-history-and-tradition-to-assess-gun-laws-does-racist-history-count","372922 Byte","217","text/html"
"https://www.latimes.com/california/story/2023-12-20/barabak-chabria-column-the-year-america-burned-literally-and-figuratively","365236 Byte","246","text/html"
"https://www.latimes.com/espanol/entretenimiento/articulo/2024-02-17/dolorosa-travesia-de-migrante-inspira-pelicula-nominada-al-oscar-io-capitano","253111 Byte","99","text/html"
"https://www.latimes.com/espanol/opinion/articulo/2024-02-02/opinion-oppenheimer-pronosticos-economicos-sombrios-para-america-latina","253688 Byte","101","text/html"
"https://www.latimes.com/opinion/story/2024-02-18/trump-biden-presidents-day-ranking-poll-election-2024","327771 Byte","207","text/html"
"https://www.latimes.com/delos/story/2024-02-07/5-phone-wallpapers-to-help-you-poner-las-pilas","335870 Byte","208","text/html"
"https://www.latimes.com/sports/story/2024-02-18/hideki-matsuyama-wins-genesis-invitational","318250 Byte","209","text/html"
"https://www.latimes.com/delos/list/5-favorite-latino-owned-businesses-in-l-a-nativo-corissa-hernandez","368002 Byte","204","text/html"
"https://www.latimes.com/sports/sparks","393323 Byte","216","text/html"
"https://www.latimes.com/espanol/eeuu/articulo/2024-02-16/eeuu-ventas-minoristas-caen-en-enero-compradores-reducen-gastos-tras-animada-temporada-decembrina","236762 Byte","98","text/html"
"https://www.latimes.com/espanol/california/articulo/2024-01-25/lo-que-hay-que-saber-sobre-los-cambios-en-el-formulario-para-solicitar-apoyo-estudiantil-en-eeuu","250000 Byte","97","text/html"
"https://www.latimes.com/california/story/2024-02-08/chabria-column-tech-firms-news-outlets","338300 Byte","216","text/html"
"https://www.latimes.com/california/story/2023-12-22/family-of-lancaster-mother-killed-by-sheriffs-deputy-plans-to-sue-los-angeles-county","317945 Byte","208","text/html"
"https://www.latimes.com/california/story/2024-02-16/grossmans-daughter-testifies-scott-erickson-threatened-her-after-she-saw-him-hiding-near-fatal-crash-scene","370495 Byte","221","text/html"
"https://www.latimes.com/entertainment-arts/business","389399 Byte","219","text/html"
"https://www.latimes.com/entertainment-arts/music/story/2024-02-15/shakira-las-mujeres-ya-no-lloran-first-album-7-years","347925 Byte","217","text/html"
"https://www.latimes.com/california/story/2024-02-17/storm-forecast","309056 Byte","206","text/html"
"https://www.latimes.com/business/story/2023-07-13/column-artificial-intelligence-chatbots-are-spreading-fast-but-hype-about-them-is-spreading-faster","351834 Byte","230","text/html"
"https://www.latimes.com/food/story/2021-12-07/how-richard-gomez-tamale-cart-design-may-change-street-vending-in-la","347159 Byte","226","text/html"
"https://www.latimes.com/business/story/2022-08-25/california-ban-gasoline-mandate-zero-emission-2035","340873 Byte","209","text/html"
"https://www.latimes.com/vegasguide","747526 Byte","357","text/html"
"https://www.latimes.com/world-nation/story/2024-02-14/displaced-palestinians-leave-one-of-gazas-main-hospitals-after-weeks-of-being-isolated-by-fighting","351250 Byte","214","text/html"
"https://www.latimes.com/people/russ-mitchell","280054 Byte","194","text/html"
"https://www.latimes.com/food/story/2021-12-07/10-places-to-drink-wine-beer-cocktails-caffeine-right-now","353134 Byte","224","text/html"
"https://www.latimes.com/business/story/2024-02-16/stock-market-today-wall-street-falls-to-a-rare-losing-week-but-remains-close-to-its-record","318329 Byte","206","text/html"
"https://www.latimes.com/about/marketing/los-angeles-times-for-students-and-educators","242773 Byte","179","text/html"
"https://www.latimes.com/entertainment-arts/music/story/2024-02-15/rolling-loud-adds-fourth-night-kanye-west-ty-dolla-sign-slated-joint-show-hollywood-park","347062 Byte","219","text/html"
"https://www.latimes.com/entertainment-arts/movies/story/2024-02-16/dakota-johnson-hasnt-watched-madame-web-pokes-fun-at-gen-z-co-stars","325198 Byte","216","text/html"
"https://www.latimes.com/sports/hockey/kings/story/2024-02-18/adrian-kempe-scores-twice-kings-penguins-recap","308616 Byte","203","text/html"
"https://www.latimes.com/california/story/2023-09-12/california-democrats-concealed-carry-senate-bill-2-anthony-portantino-gavin-newsom-bruen-supreme-court-guns","344203 Byte","217","text/html"
"https://www.latimes.com/california/story/2023-12-22/column-blame-ketamine-for-killing-matthew-perry-its-saving-someone-i-love","337855 Byte","213","text/html"
"https://www.latimes.com/espanol/politica/articulo/2024-02-13/ap-explica-quien-es-rocio-san-miguel-la-activista-y-experta-en-seguridad-detenida-en-venezuela","246012 Byte","98","text/html"
"https://www.latimes.com/espanol/mexico/articulo/2024-02-16/obispos-negocian-con-el-narco-para-intentar-frenar-la-violencia-en-mexico-presidente-los-respalda","247598 Byte","100","text/html"
"https://www.latimes.com/california/story/2024-02-15/column-older-drivers-reveal-strategies-for-passing-that-ridiculous-california-dmv-renewal-test","327752 Byte","210","text/html"
"https://www.latimes.com/entertainment-arts/tv/story/2024-01-15/issa-lopez-true-detective-night-country","357408 Byte","207","text/html"
"https://www.latimes.com/entertainment-arts/tv/story/2020-10-15/latinx-writers-open-letter-to-hollywood-united-latinx-project","362115 Byte","216","text/html"
"https://www.latimes.com/specialsupplements","422289 Byte","242","text/html"
"https://www.latimes.com/travel/list/los-feliz-los-angeles-guide-things-to-do","588150 Byte","322","text/html"
"https://www.latimes.com/espanol/politica/articulo/2024-02-16/eeuu-pedido-de-proteccion-de-nikki-haley-esta-proximo-a-aprobacion","235706 Byte","97","text/html"
"https://www.latimes.com/espanol/vida-y-estilo/articulo/2024-02-11/como-un-ford-destartalado-inicio-una-revolucion-musical-que-arraso-en-el-carnaval-de-brasil","254297 Byte","99","text/html"
"https://www.latimes.com/california/story/2024-01-31/judge-rules-california-background-check-anti-importation-rules-for-ammo-unconstitutional","337474 Byte","210","text/html"
"https://www.latimes.com/espanol/opinion","326088 Byte","117","text/html"
"https://www.latimes.com/bestcovery/manscaped-lawn-mower-4-0-review","78176 Byte","42","text/html"
"https://www.latimes.com/entertainment-arts/music/story/2024-02-15/jennifer-lopez-this-is-me-now-tour-socal-shows-dates","341697 Byte","220","text/html"
"https://www.latimes.com/topic/wellness","401967 Byte","225","text/html"
"https://www.latimes.com/business/technology/story/2024-01-12/column-copyright-is-the-biggest-threat-to-the-ai-industry-but-its-not-going-down-without-a-fight","369851 Byte","232","text/html"
"https://www.latimes.com/food/story/2022-02-23/the-new-la-tasting-menu","385862 Byte","225","text/html"
"https://www.latimes.com/environment/story/2024-01-24/california-ev-charging-stations-broken","378285 Byte","217","text/html"
"https://www.latimes.com/topic/israel-hamas","387789 Byte","220","text/html"
"https://www.latimes.com/science","451367 Byte","239","text/html"
"https://www.latimes.com/world-nation/story/2024-02-16/satellite-photos-show-egypt-building-a-wall-near-gaza-strip-as-israeli-offensive-on-rafah-looms","322147 Byte","209","text/html"
"https://www.latimes.com/environment/story/2023-11-21/how-to-score-an-instant-rebate-on-a-new-or-used-electric-car","357391 Byte","213","text/html"
"https://www.latimes.com/california/story/2024-02-16/beverage-company-fined-14-million-for-allegedly-defrauding-misleading-investors","324485 Byte","211","text/html"
"https://www.latimes.com/business/story/2024-02-09/column-voters-finally-notice-that-bidenomics-is-working","351140 Byte","231","text/html"
"https://www.latimes.com/about/public-affairs","308044 Byte","185","text/html"
"https://www.latimes.com/business/technology","387861 Byte","215","text/html"
"https://www.latimes.com/entertainment-arts/music/story/2022-05-14/paul-mccartney-get-back-concert-sofi-stadium","315923 Byte","197","text/html"
"https://www.latimes.com/california/story/2024-02-07/how-to-file-a-claim-if-pothole-damages-your-car","352009 Byte","233","text/html"
"https://www.latimes.com/topic/home-design","387862 Byte","210","text/html"
"https://www.latimes.com/california/story/2023-03-30/why-does-california-do-a-terrible-job-preventing-domestic-violence-and-protecting-victims","366957 Byte","220","text/html"
"https://www.latimes.com/espanol/eeuu/articulo/2024-02-17/el-agua-de-mar-caliente-mata-a-la-mayor-parte-del-coral-cultivado-en-los-cayos-de-florida","247593 Byte","100","text/html"
"https://www.latimes.com/sports/ucla/story/2024-02-18/ucla-left-stunned-loss-utah-recap","316479 Byte","202","text/html"
"https://www.latimes.com/espanol/vida-y-estilo","325912 Byte","125","text/html"
"https://www.latimes.com/business/story/2024-02-15/child-free-by-choice-for-financial-reasons-falling-birth-rates","367705 Byte","218","text/html"
"https://www.latimes.com/entertainment-arts/music/story/2022-07-29/selena-como-te-quiero-yo-a-ti-new-song","335354 Byte","216","text/html"
"https://www.latimes.com/espanol/vida-y-estilo/articulo/2023-12-22/multitudes-afluyen-a-aeropuertos-y-autopistas-al-iniciar-vacaciones-de-fin-de-ano-en-eeuu","252950 Byte","101","text/html"
"https://www.latimes.com/archives","299213 Byte","183","text/html"
"https://www.latimes.com/delos?utm_campaign=delos23&utm_content=nov23_hpbarker&utm_medium=homepagebarker&utm_source=marketing_content","474069 Byte","240","text/html"
"https://www.latimes.com/espanol/eeuu/articulo/2024-01-06/no-todos-han-podido-acceder-al-nuevo-formulario-para-solicitar-apoyo-estudiantil-en-eeuu","249701 Byte","99","text/html"
"https://www.latimes.com/california/story/2023-12-20/federal-judge-blocks-new-california-law-barring-guns-in-many-public-places","332766 Byte","212","text/html"
"https://www.latimes.com/entertainment-arts/tv/story/2024-02-18/bob-marley-one-live-madame-web-dakota-johnson","337143 Byte","215","text/html"
"https://www.latimes.com/business/story/2023-12-05/gms-cruise-robotaxi-service-faces-fine-in-alleged-cover-up-of-san-francisco-accidents-severity","318288 Byte","207","text/html"
"https://www.latimes.com/entertainment-arts/story/2024-02-16/brian-wilson-dementia-conservatorship-beach-boys-family-reps","329269 Byte","211","text/html"
"https://www.latimes.com/food/list/los-angeles-hall-of-fame-restaurants-modern-classics","707946 Byte","294","text/html"
"https://www.latimes.com/environment/story/2024-02-11/should-pinyon-juniper-forests-be-turned-into-biofuel","364399 Byte","206","text/html"
"https://www.latimes.com/world-nation/story/2023-12-29/ex-trump-lawyer-michael-cohen-says-he-unwittingly-sent-ai-generated-fake-legal-cases-attorney","316916 Byte","205","text/html"
"https://www.latimes.com/food/story/2022-07-22/anajak-thai-sherman-oaks-restaurant-of-the-year-2022","346082 Byte","213","text/html"
"https://www.latimes.com/business/story/2023-08-16/how-to-buy-electric-car-guide","439384 Byte","228","text/html"
"https://www.latimes.com/world-nation/story/2024-02-18/israel-strikes-across-gaza-as-us-says-it-will-block-another-ceasefire-resolution-at-united-nations","344071 Byte","214","text/html"
"https://www.latimes.com/opinion/letters-to-the-editor","542232 Byte","293","text/html"
"https://www.latimes.com/paid-posts/?ntv_acpl=1047465&ntv_acsc=0&ntv_ht=rpgkZAA&ntv_ot=0&ntv_ui=26dbb1d9-cc3d-4a64-a5fa-3175bbebe11f&prx_t=oEYIAuBNdAqfsPA","223952 Byte","171","text/html"
"https://www.latimes.com/opinion/story/2024-02-12/cement-concrete-carbon-emissions-california","341199 Byte","225","text/html"
"https://www.latimes.com/business/story/2023-11-16/ai-investors-say-theyll-go-broke-if-they-have-to-pay-for-copyrighted-materials-dont-buy-it","362322 Byte","226","text/html"
"https://www.latimes.com/people/bill-addison","279898 Byte","196","text/html"
"https://www.latimes.com/topic/editorials","385714 Byte","210","text/html"
"https://www.latimes.com/food/story/2021-07-29/morihiro-mori-onodera-atwater-village-review-bill-addison","323789 Byte","206","text/html"
"https://www.latimes.com/entertainment-arts/awards/story/2024-02-14/last-repair-shop-oscars-documentary-short-film","306961 Byte","193","text/html"
"https://www.latimes.com/business/story/2024-01-10/engine-maker-cummins-to-repair-replace-600-000-ram-trucks-in-2-billion-emissions-cheating-scandal","333552 Byte","217","text/html"
"https://www.latimes.com/environment/story/2024-02-12/californias-war-on-plastic-bag-use-seems-to-have-backfired","343929 Byte","206","text/html"
"https://www.latimes.com/people/erika-d-smith","285157 Byte","197","text/html"
"https://www.latimes.com/topic/op-ed","386386 Byte","221","text/html"
"https://www.latimes.com/travel","454476 Byte","249","text/html"
"https://www.latimes.com/espanol/vida-y-estilo/articulo/2023-12-25/robot-que-habla-ayuda-a-ancianos-a-combatir-la-soledad-con-la-compania-de-la-ia","254614 Byte","99","text/html"
"https://www.latimes.com/world-nation/newsletter/2022-03-17/latinx-files-selena-computerized-album-latinx-files","311577 Byte","218","text/html"
"https://www.latimes.com/espanol/entretenimiento/articulo/2024-02-16/resena-jennifer-lopez-reaviva-el-amor-22-anos-despues-con-this-is-me-now","237308 Byte","98","text/html"
"https://www.latimes.com/california/story/2024-02-01/2024-california-election-voter-guide-primary-super-tuesday","555527 Byte","286","text/html"
"https://www.latimes.com/business/story/2024-02-17/should-you-care-about-your-partners-credit-score","319142 Byte","209","text/html"
"https://www.latimes.com/espanol/etiqueta/salud","317840 Byte","113","text/html"
"https://www.latimes.com/entertainment-arts/books/story/2024-02-06/fourteen-days-collaborative-novel-authors-guild-margaret-atwood-douglas-preston","329595 Byte","206","text/html"
"https://www.latimes.com/sports/highschool","406242 Byte","233","text/html"
"https://www.latimes.com/business/story/2024-01-02/electric-car-models-eligible-for-7-500-tax-credit-cut-to-13","314998 Byte","208","text/html"
"https://www.latimes.com/sports/story/2024-01-30/rams-receiver-demarcus-robinson-sues-hollywood-lexen-hotel-armed-robbery","311578 Byte","208","text/html"
"https://www.latimes.com/food/story/2022-06-16/kato-review-addison-downtown-taiwanese","380383 Byte","215","text/html"
"https://www.latimes.com/california","491539 Byte","284","text/html"
"https://www.latimes.com/food/newsletter/2022-09-03/what-makes-a-los-angeles-restaurant-anajak-thai-tasting-notes-tasting-notes","302349 Byte","205","text/html"
"https://www.latimes.com/business/story/2024-02-14/column-taxpayer-protection-or-taxpayer-deception-a-new-ballot-measure-aims-to-destroy-the-california-state-budget","360578 Byte","225","text/html"
"https://www.latimes.com/environment/story/2024-02-08/lives-saved-and-water-lost-the-los-angele-river-dilemma","412867 Byte","237","text/html"
"https://www.latimes.com/specialsupplements/story/2023-01-25/a-season-for-shochu-its-a-new-year-sample-a-traditional-japanese-spirit","266692 Byte","192","text/html"
"https://www.latimes.com/archives/topics","293287 Byte","233","text/html"
"https://www.latimes.com/branded_travel/story/2023-11-20/a-single-destination-myriad-options-only-in-madrid","336939 Byte","203","text/html"
"https://www.latimes.com/opinion/letters-to-the-editor/story/2024-01-29/app-to-charge-my-ev-public-charging-system-is-a-mess","314664 Byte","203","text/html"
"https://www.latimes.com/food/story/2021-12-07/chef-martin-draluck","379612 Byte","206","text/html"
"https://www.latimes.com/business/story/2024-02-13/inside-the-1-million-verdict-a-climate-scientist-won-against-global-warming-deniers","365137 Byte","233","text/html"
"https://www.latimes.com/espanol/entretenimiento/articulo/2024-02-18/la-energia-de-yuri-se-desbordo-con-euforia-en-los-angeles","301109 Byte","99","text/html"
"https://www.latimes.com/food/story/2022-06-23/selva-long-beach-carlos-jurado-colombian-review-addison","359169 Byte","208","text/html"
"https://www.latimes.com/people/alexandra-del-rosario","281963 Byte","195","text/html"
"https://www.latimes.com/entertainment-arts/business/story/2023-02-16/youtube-ceo-susan-wojcicki-to-step-down-amid-tough-moment-for-tech","340051 Byte","226","text/html"
"https://www.latimes.com/topic/la-politics","403860 Byte","225","text/html"
"https://www.latimes.com/entertainment-arts/books/story/2024-02-07/the-weeks-bestselling-books-feb-11","310566 Byte","203","text/html"
"https://www.latimes.com/espanol/eeuu/articulo/2024-02-16/inflacion-en-eeuu-se-ralentiza-pero-sigue-siendo-alta-los-precios-se-reducen-muy-gradualmente","245475 Byte","99","text/html"
"https://www.latimes.com/entertainment-arts/business/story/2024-02-16/cbs-leslie-moonves-la-ethics-case-lapd","326828 Byte","213","text/html"
"https://www.latimes.com/favicon-16x16.png","245 Byte","0","image/png"
